Molen;Datum;Totale productie (kWh);Per winddeel (kWh);9 Winddelen (kWh)
De Witte Juffer;2018-09-18;15548;2,718;24,459
De Witte Juffer;2018-09-17;5976;1,045;9,401
De Witte Juffer;2018-09-16;5064;0,885;7,966
De Witte Juffer;2018-09-15;3398;0,594;5,346
De Witte Juffer;2018-09-14;4288;0,75;6,746
De Witte Juffer;2018-09-13;367;0,064;0,577
De Witte Juffer;2018-09-12;3929;0,687;6,181
De Witte Juffer;2018-09-11;16846;2,945;26,501
De Witte Juffer;2018-09-10;6337;1,108;9,969
De Witte Juffer;2018-09-09;5646;0,987;8,882
De Witte Juffer;2018-09-08;6641;1,161;10,447
De Witte Juffer;2018-09-07;10344;1,808;16,273
De Witte Juffer;2018-09-06;1888;0,33;2,97
De Witte Juffer;2018-09-05;2818;0,493;4,433
De Witte Juffer;2018-09-04;776;0,136;1,221
De Witte Juffer;2018-09-03;2177;0,381;3,425
De Witte Juffer;2018-09-02;4262;0,745;6,705
De Witte Juffer;2018-09-01;1400;0,245;2,202
De Witte Juffer;2018-08-31;430;0,075;0,676
De Witte Juffer;2018-08-30;4232;0,74;6,658
De Witte Juffer;2018-08-29;2903;0,507;4,567
De Witte Juffer;2018-08-28;1123;0,196;1,767
De Witte Juffer;2018-08-27;9860;1,723;15,511
De Witte Juffer;2018-08-26;9599;1,678;15,101
De Witte Juffer;2018-08-25;6256;1,094;9,842
De Witte Juffer;2018-08-24;10744;1,878;16,902
De Witte Juffer;2018-08-23;5258;0,919;8,272
De Witte Juffer;2018-08-22;1584;0,277;2,492
De Witte Juffer;2018-08-21;-46;-0,008;-0,072
De Witte Juffer;2018-08-20;2233;0,39;3,513
De Witte Juffer;2018-08-19;6915;1,209;10,878
De Witte Juffer;2018-08-18;5484;0,959;8,627
De Witte Juffer;2018-08-17;797;0,139;1,254
De Witte Juffer;2018-08-16;5624;0,983;8,847
De Witte Juffer;2018-08-15;4515;0,789;7,103
De Witte Juffer;2018-08-14;4939;0,863;7,77
De Witte Juffer;2018-08-13;3330;0,582;5,239
De Witte Juffer;2018-08-12;3663;0,64;5,762
De Witte Juffer;2018-08-11;6072;1,061;9,552
De Witte Juffer;2018-08-10;16003;2,797;25,175
De Witte Juffer;2018-08-09;10227;1,788;16,089
De Witte Juffer;2018-08-08;11985;2,095;18,854
De Witte Juffer;2018-08-07;645;0,113;1,015
De Witte Juffer;2018-08-06;1384;0,242;2,177
De Witte Juffer;2018-08-05;1724;0,301;2,712
De Witte Juffer;2018-08-04;3874;0,677;6,094
De Witte Juffer;2018-08-03;1673;0,292;2,632
De Witte Juffer;2018-08-02;2755;0,482;4,334
De Witte Juffer;2018-08-01;1124;0,196;1,768
De Witte Juffer;2018-07-31;5143;0,899;8,091
De Witte Juffer;2018-07-30;4435;0,775;6,977
De Witte Juffer;2018-07-29;6862;1,199;10,795
De Witte Juffer;2018-07-28;9963;1,741;15,673
De Witte Juffer;2018-07-27;4969;0,869;7,817
De Witte Juffer;2018-07-26;605;0,106;0,952
De Witte Juffer;2018-07-25;2702;0,472;4,251
De Witte Juffer;2018-07-24;826;0,144;1,299
De Witte Juffer;2018-07-23;75;0,013;0,118
De Witte Juffer;2018-07-22;3177;0,555;4,998
De Witte Juffer;2018-07-21;3216;0,562;5,059
De Witte Juffer;2018-07-20;1485;0,26;2,336
De Witte Juffer;2018-07-19;2085;0,364;3,28
De Witte Juffer;2018-07-18;1647;0,288;2,591
De Witte Juffer;2018-07-17;4746;0,83;7,466
De Witte Juffer;2018-07-16;2300;0,402;3,618
De Witte Juffer;2018-07-15;931;0,163;1,465
De Witte Juffer;2018-07-14;1770;0,309;2,784
De Witte Juffer;2018-07-13;1191;0,208;1,874
De Witte Juffer;2018-07-12;3756;0,657;5,909
De Witte Juffer;2018-07-11;5297;0,926;8,333
De Witte Juffer;2018-07-10;12579;2,199;19,789
De Witte Juffer;2018-07-09;3517;0,615;5,533
De Witte Juffer;2018-07-08;3247;0,568;5,108
De Witte Juffer;2018-07-07;1539;0,269;2,421
De Witte Juffer;2018-07-06;1030;0,18;1,62
De Witte Juffer;2018-07-05;2313;0,404;3,639
De Witte Juffer;2018-07-04;1562;0,273;2,457
De Witte Juffer;2018-07-03;5671;0,991;8,921
De Witte Juffer;2018-07-02;6991;1,222;10,998
De Witte Juffer;2018-07-01;12629;2,207;19,867
De Witte Juffer;2018-06-30;4919;0,86;7,738
De Witte Juffer;2018-06-29;5433;0,95;8,547
De Witte Juffer;2018-06-28;6333;1,107;9,963
De Witte Juffer;2018-06-27;3412;0,596;5,368
De Witte Juffer;2018-06-26;3012;0,526;4,738
De Witte Juffer;2018-06-25;2321;0,406;3,651
De Witte Juffer;2018-06-24;3108;0,543;4,889
De Witte Juffer;2018-06-23;1984;0,347;3,121
De Witte Juffer;2018-06-22;22417;3,918;35,265
De Witte Juffer;2018-06-21;23225;4,06;36,536
De Witte Juffer;2018-06-20;5500;0,961;8,652
De Witte Juffer;2018-06-19;2523;0,441;3,969
De Witte Juffer;2018-06-18;8755;1,53;13,773
De Witte Juffer;2018-06-17;8793;1,537;13,833
De Witte Juffer;2018-06-16;2677;0,468;4,211
De Witte Juffer;2018-06-15;131;0,023;0,206
De Witte Juffer;2018-06-14;9425;1,647;14,827
De Witte Juffer;2018-06-13;3218;0,562;5,062
De Witte Juffer;2018-06-12;3702;0,647;5,824
De Witte Juffer;2018-06-11;6179;1,08;9,721
De Witte Juffer;2018-06-10;4306;0,753;6,774
De Witte Juffer;2018-06-09;2973;0,52;4,677
De Witte Juffer;2018-06-08;1323;0,231;2,081
De Witte Juffer;2018-06-07;384;0,067;0,604
De Witte Juffer;2018-06-06;1591;0,278;2,503
De Witte Juffer;2018-06-05;2074;0,363;3,263
De Witte Juffer;2018-06-04;2359;0,412;3,711
De Witte Juffer;2018-06-03;620;0,108;0,975
De Witte Juffer;2018-06-02;2540;0,444;3,996
De Witte Juffer;2018-06-01;2420;0,423;3,807
De Witte Juffer;2018-05-31;1410;0,246;2,218
De Witte Juffer;2018-05-30;656;0,115;1,032
De Witte Juffer;2018-05-29;2721;0,476;4,281
De Witte Juffer;2018-05-28;2418;0,423;3,804
De Witte Juffer;2018-05-27;5134;0,897;8,077
De Witte Juffer;2018-05-26;2972;0,519;4,675
De Witte Juffer;2018-05-25;1258;0,22;1,979
De Witte Juffer;2018-05-24;5212;0,911;8,199
De Witte Juffer;2018-05-23;4012;0,701;6,311
De Witte Juffer;2018-05-22;2480;0,433;3,901
De Witte Juffer;2018-05-21;5048;0,882;7,941
De Witte Juffer;2018-05-20;1641;0,287;2,582
De Witte Juffer;2018-05-19;94;0,016;0,148
De Witte Juffer;2018-05-18;3287;0,575;5,171
De Witte Juffer;2018-05-17;9837;1,719;15,475
De Witte Juffer;2018-05-16;17126;2,994;26,942
De Witte Juffer;2018-05-15;5914;1,034;9,304
De Witte Juffer;2018-05-14;4762;0,832;7,491
De Witte Juffer;2018-05-13;5511;0,963;8,67
De Witte Juffer;2018-05-12;2888;0,505;4,543
De Witte Juffer;2018-05-11;1120;0,196;1,762
De Witte Juffer;2018-05-10;7853;1,373;12,354
De Witte Juffer;2018-05-09;2490;0,435;3,917
De Witte Juffer;2018-05-08;3418;0,597;5,377
De Witte Juffer;2018-05-07;4116;0,719;6,475
De Witte Juffer;2018-05-06;3352;0,586;5,273
De Witte Juffer;2018-05-05;4366;0,763;6,868
De Witte Juffer;2018-05-04;3528;0,617;5,55
De Witte Juffer;2018-05-03;2792;0,488;4,392
De Witte Juffer;2018-05-02;12618;2,206;19,85
De Witte Juffer;2018-05-01;25760;4,503;40,524
De Witte Juffer;2018-04-30;14865;2,598;23,385
De Witte Juffer;2018-04-29;6709;1,173;10,554
De Witte Juffer;2018-04-28;6275;1,097;9,872
De Witte Juffer;2018-04-27;3451;0,603;5,429
De Witte Juffer;2018-04-26;18560;3,244;29,198
De Witte Juffer;2018-04-25;21105;3,689;33,201
De Witte Juffer;2018-04-24;12511;2,187;19,682
De Witte Juffer;2018-04-23;10477;1,831;16,482
De Witte Juffer;2018-04-22;4449;0,778;6,999
De Witte Juffer;2018-04-21;778;0,136;1,224
De Witte Juffer;2018-04-20;2230;0,39;3,508
De Witte Juffer;2018-04-19;9106;1,592;14,325
De Witte Juffer;2018-04-18;3078;0,538;4,842
De Witte Juffer;2018-04-17;3173;0,555;4,992
De Witte Juffer;2018-04-16;3145;0,55;4,948
De Witte Juffer;2018-04-15;947;0,166;1,49
De Witte Juffer;2018-04-14;324;0,057;0,51
De Witte Juffer;2018-04-13;3005;0,525;4,727
De Witte Juffer;2018-04-12;3863;0,675;6,077
De Witte Juffer;2018-04-11;1152;0,201;1,812
De Witte Juffer;2018-04-10;3933;0,687;6,187
De Witte Juffer;2018-04-09;4584;0,801;7,211
De Witte Juffer;2018-04-08;2315;0,405;3,642
De Witte Juffer;2018-04-07;10359;1,811;16,296
De Witte Juffer;2018-04-06;20808;3,637;32,734
De Witte Juffer;2018-04-05;22460;3,926;35,333
De Witte Juffer;2018-04-04;9245;1,616;14,544
De Witte Juffer;2018-04-03;19169;3,351;30,156
De Witte Juffer;2018-04-02;7640;1,335;12,019
De Witte Juffer;2018-04-01;1956;0,342;3,077
De Witte Juffer;2018-03-31;2238;0,391;3,521
De Witte Juffer;2018-03-30;10623;1,857;16,712
De Witte Juffer;2018-03-29;5873;1,027;9,239
De Witte Juffer;2018-03-28;4802;0,839;7,554
De Witte Juffer;2018-03-27;3860;0,675;6,072
De Witte Juffer;2018-03-26;1531;0,268;2,408
De Witte Juffer;2018-03-25;1849;0,323;2,909
De Witte Juffer;2018-03-24;2084;0,364;3,278
De Witte Juffer;2018-03-23;8569;1,498;13,48
De Witte Juffer;2018-03-22;10913;1,908;17,168
De Witte Juffer;2018-03-21;3468;0,606;5,456
De Witte Juffer;2018-03-20;17116;2,992;26,926
De Witte Juffer;2018-03-19;16717;2,922;26,298
De Witte Juffer;2018-03-18;36466;6,374;57,367
De Witte Juffer;2018-03-17;42679;7,46;67,141
De Witte Juffer;2018-03-16;12536;2,191;19,721
De Witte Juffer;2018-03-15;21081;3,685;33,164
De Witte Juffer;2018-03-14;5802;1,014;9,127
De Witte Juffer;2018-03-13;10423;1,822;16,397
De Witte Juffer;2018-03-12;5391;0,942;8,481
De Witte Juffer;2018-03-11;7692;1,345;12,101
De Witte Juffer;2018-03-10;7446;1,302;11,714
De Witte Juffer;2018-03-09;7358;1,286;11,575
